gps_distance_m,kf_position_m,kf_velocity
0.0,-9.44829634556485e-08,-0.044299428658202106
1.4442594041711292,1.4380294347388962,14.290609359454335
2.7527135491503243,2.7714695115401935,13.681403509540646
4.055987655179394,4.080393229173233,13.390421217166603
5.485064384015505,5.457826466793416,13.477569488927791
6.778722620014452,6.790086533926909,13.383629441336327
8.065582161099112,8.097239959942618,13.245489006019392
9.3454794782844,9.387628929802222,13.105619438023757
10.744829773985197,10.71365375613797,13.068169006516348
12.009943216360542,12.01425966422199,12.986213575429279
13.392120883161695,13.335090595732813,12.930835676122538
14.63917064261608,14.627540530763943,12.825825175705239
15.875803090281936,15.896079472370356,12.692479703893351
17.102347919843695,17.144321482048902,12.554898111897527
18.43923660340823,18.405717737815618,12.46251272436384
19.645717869450806,19.64731955624403,12.378981077668463
20.96593033803891,20.901081920069196,12.333749924980344
22.161142237090775,22.13829511685564,12.288814969205227
23.352554066874358,23.362572110634794,12.247876284959913
24.540666563260157,24.575697157036295,12.187027305315196
25.843041627719554,25.802129185821062,12.146540742453382
27.023404773750432,27.015931483817536,12.09482046350408
28.19939685525382,28.21822512368227,12.0364768540869
29.371307726618273,29.410300200960542,11.978633773621382
30.657316474842318,30.615788449021874,11.949060502934929
31.82287854179495,31.811419303625975,11.913935746311735
32.985733765531016,32.99784100700854,11.866412451680697
34.260180688571104,34.19653717295337,11.836693167760732
35.41448974053834,35.384592720229065,11.79793725501182
36.56639770369325,36.562992540805,11.755715793486681
37.831181169787975,37.753761104425735,11.734569155492101
38.9775827008919,38.93426184761411,11.693945899228467
40.12016697092972,40.10482225133098,11.653070550127975
41.373408977567784,41.28683754026462,11.625441323740631
42.509275147189896,42.45810458474944,11.586183622912332
43.64160729070664,43.61923717402144,11.543072311126377
44.77044703670522,44.77100852513831,11.494698490320674
46.00862081927833,45.934348650256545,11.462102475489244
47.13064048218515,47.08769645663344,11.425616796365235
48.24963942376593,48.23177365536862,11.38136061089683
49.47741324257014,49.38744191993929,11.356490245429343
50.589855864150216,50.53335201129963,11.325882300156785
51.69924362074695,51.67005087827774,11.286256051647786
52.915865645845855,52.817973957672855,11.263657759086378
54.019511233695745,53.956137803580404,11.235144353503491
55.11889977381666,55.08460782141468,11.191154268601887
56.323509008162844,56.22238986873789,11.142539018737963
57.41166435179486,57.34693448661735,11.078268115715602
58.49245784467872,58.45767345769311,10.991383354552587
59.66969032184529,59.572688690161165,10.904236279288897
60.73018849262159,60.67084526066734,10.811334096027709
61.7814020671641,61.75310231393741,10.715756154579811
62.928210974512005,62.84005961088477,10.655690126196284
63.96331536063073,63.91270361888273,10.586086210370171
64.99091979900022,64.97144000566178,10.507393546192477
66.01032008825813,66.01574811775556,10.401407656871458
67.12050951699436,67.06308354352646,10.305797722700735
68.12003611603811,68.09384618214264,10.200228554575967
69.20796534873453,69.12626222512489,10.10735086943396
70.18688017170348,70.1413494846226,10.004511867070775
71.15554448851569,71.13971254101916,9.896723914791378
72.11402208304999,72.12243054236225,9.792702384581919
73.1586814616681,73.10813109671521,9.710496769636187
74.09989498990281,74.07924139206537,9.625577041119689
75.03347088280627,75.03655879826277,9.533648644175749
76.05081593684042,75.99729957651115,9.457987522831498
76.96721890258726,76.94368743582156,9.371636430269456
77.87520512876716,77.87607115691472,9.279649585207821
78.86453560741491,78.81126982008111,9.202189647120068
79.75356246164242,79.73200699773628,9.122661279644605
80.63556109705543,80.63934697129038,9.039926400291765
81.597575678286,81.5496435642561,8.96611444883635
82.46310997758566,82.44585380514931,8.886127055861515
83.32179724668009,83.32851537208018,8.795120840560267
84.17288251788334,84.19793569966997,8.697764839341364
85.10056116008427,85.06997180462264,8.615390669996893
85.93650178873985,85.92891103010088,8.53173815124482
86.76469835463098,86.7753126417346,8.440558764727568
87.66592844273003,87.6233771594532,8.343280308132659
88.47484759418325,88.45598396376916,8.230188938812269
89.27397947838533,89.27319921600669,8.110862184709651
90.1412048762756,90.0896548109613,8.003270963560142
90.91880463608311,90.89004593996812,7.884619511220021
91.68565198834577,91.6748701276601,7.766900760509914
92.51722140750758,92.458736968535,7.666539028334848
93.26393491965857,93.2277107322882,7.561870918624401
94.00019837048436,93.98238036467237,7.457215501437783
94.79865199030272,94.73578055193215,7.348596211921486
95.512151746275,95.4732006179174,7.237367675450118
96.21523450063505,96.19517258725823,7.118407753124312
96.97651440723246,96.9146390303638,7.012882969783271
97.65767167783045,97.6186376697002,6.9043067664136535
98.32836329647799,98.30752690884127,6.786584283293537
99.05357877287935,98.99337156539315,6.6792274680955535
99.70168359929397,99.66351590959593,6.564489168679555
100.3392056600153,100.31789159391484,6.4341387303182485
100.9649355232029,100.95641973841695,6.300910887444116
101.63922327630267,101.58997355903479,6.16478003683674
102.23895962516538,102.20611148144864,6.0209922033223755
102.8251007002,102.80495522847872,5.871870325395408
103.45349417790966,103.39635674792964,5.717880545230377
104.00898226756148,103.96856628443956,5.557763909863399
104.5491031675446,104.5219809725324,5.3974224972124025
105.12709783454102,105.06664349757828,5.243716029145664
105.63610886004601,105.59185742606181,5.076021332081898
106.1776917314565,106.1061914757539,4.912483028764623
106.65282551192847,106.60049585623334,4.755374864215674
107.11368215214097,107.07614959497268,4.601178351152878
