"","","","","","",""
"time","ax","ay","az","wx","wy","wz"
"14,324,445","4","-7","17","3","-5","-8"
"14,424,713","11","0","5","-10","-5","-8"
"14,525,029","-8","9","4","3","-5","-8"
"14,625,134","7","-2","-3","3","-16","-8"
"14,735,346","-6","-3","0","-10","7","4"
"14,825,991","1","8","0","-10","-5","-8"
"14,926,316","0","-8","-2","-10","-5","-8"
"15,027,190","-1","-4","-6","-10","-5","4"
"15,127,498","2","0","7","15","8","7"
"15,227,761","-9","3","8","-8","-4","-5"
"15,327,926","-4","16","-2","15","8","7"
"15,428,286","-11","2","6","15","-4","7"
"15,528,510","17","-10","-14","-8","-4","19"
"15,629,139","-3","9","-3","-10","-4","-5"
"15,729,792","6","-3","13","3","-16","-5"
"15,829,827","-14","14","7","-10","-4","-5"
"15,930,632","3","-9","3","3","-4","7"
"16,030,997","6","-2","-4","3","-16","-5"
"16,131,639","4","2","2","3","21","7"
"16,232,626","-16","5","-3","3","-4","-5"
"16,333,194","-1","12","-11","-21","8","7"
"16,433,487","2","15","1","3","-4","7"
"16,534,114","1","-14","2","3","-4","7"
"16,634,574","-5","7","8","-8","-4","-5"
"16,734,887","-14","-9","1","-21","-15","-5"
"16,835,166","-5","-13","-2","3","8","-5"
"16,935,340","4","0","2","3","-15","-5"
"17,035,932","0","-19","2","3","8","7"
"17,136,220","7","-13","7","-10","-4","19"
"17,237,201","-2","10","5","-10","-4","-5"
"17,337,437","2","-6","-3","3","-16","-5"
"17,437,480","-6","2","10","-10","-4","19"
"17,538,466","14","-9","6","3","-4","-5"
"17,638,677","-5","-13","-4","3","-4","-5"
"17,739,043","16","-1","-15","15","-4","7"
"17,839,907","-1","-6","-8","3","8","7"
"17,947,554","7","-14","4","3","8","7"
"18,040,477","20","34","-4","-8","-4","7"
"18,141,335","0","-13","-6","3","8","7"
"18,242,095","5","6","1","3","8","7"
"18,342,689","3","0","-7","3","-4","7"
"18,442,981","11","13","-6","3","21","7"
"18,543,508","14","-1","9","15","-4","7"
"18,644,230","-6","2","-6","-22","-4","7"
"18,744,558","-1","-2","-18","-10","-4","7"
"18,844,381","15","-14","-11","-10","8","7"
"18,945,117","2","-4","2","3","-16","-5"
"19,046,163","-5","-4","14","3","8","7"
"19,146,634","-10","-6","-2","-10","-4","7"
"19,246,840","4","-13","1","-21","-4","-5"
"19,347,319","0","1","-2","-10","8","-5"
"19,447,786","7","-15","5","-10","-16","7"
"19,547,784","-8","-1","-3","-10","-4","7"
"19,648,558","0","13","4","3","-4","7"
"19,748,808","-5","-22","-2","3","-4","7"
"19,849,778","16","12","2","3","-16","19"
"19,949,150","2","2","-5","3","8","7"
"20,049,819","22","10","-5","3","8","7"
"20,150,367","5","-13","5","15","21","-5"
"20,250,728","12","-6","8","3","8","7"
"20,351,042","3","-8","-5","-10","-16","-5"
"20,452,001","-11","13","8","3","-4","7"
"20,551,729","-7","0","2","-10","8","7"
"20,652,394","16","-12","0","15","8","7"
"20,752,201","-9","1","0","3","8","7"
"20,864,131","-1","-9","9","-10","8","7"
"20,952,960","-1","-7","4","15","-4","7"
"21,054,043","-4","-10","6","-10","-4","-5"
"21,154,567","12","2","0","3","8","19"
"21,254,910","7","6","-5","-10","-4","-5"
"21,355,049","-10","-1","3","3","8","7"
"21,455,746","8","-6","2","15","-4","-5"
"21,556,001","8","-14","3","-10","-4","-5"
"21,656,626","6","7","5","-10","-4","7"
"21,758,688","8","1","0","3","8","-5"
"21,858,883","-14","7","0","3","8","-5"
"21,959,046","-4","0","-12","15","-4","7"
"22,059,751","9","4","-1","-10","-4","7"
"22,160,064","6","-2","17","3","8","7"
"22,260,520","14","5","-6","3","8","7"
"22,361,303","1","-1","-8","3","-4","-5"
"22,461,770","-9","7","0","15","33","7"
"22,562,174","-6","-27","6","-10","-4","7"
"22,662,285","17","-11","-3","3","8","-10"
"22,762,621","13","-4","-1","3","8","15"
"22,863,105","8","-8","-13","-10","-4","3"
"22,963,176","2","11","2","-10","8","3"
"23,062,987","6","9","-7","3","8","15"
"23,163,585","3","-15","-14","3","7","3"
"23,264,605","-19","-8","-8","-10","-5","3"
"23,364,870","12","0","-13","-10","-5","3"
"23,465,525","0","4","9","-10","-5","3"
"23,566,290","7","-1","3","-10","-5","-10"
"23,665,138","3","-8","-10","15","7","3"
"23,766,617","-16","-26","8","15","-4","15"
"23,866,619","-1","14","7","3","7","3"
"23,967,432","0","6","10","-10","7","3"
"24,067,384","10","7","11","15","7","3"
"24,167,487","-5","-16","13","3","-4","-10"
"24,268,003","4","2","15","15","-4","3"
"24,368,713","-13","-24","-10","15","7","15"
"24,469,234","0","-4","-9","15","-4","3"
"24,569,198","4","-7","-6","3","7","3"
"24,670,100","4","-2","-4","3","7","15"
"24,770,481","11","-4","3","3","-4","3"
"24,870,645","-7","5","-2","-22","7","3"
"24,984,529","-4","-4","-3","-10","7","3"
"25,070,702","0","2","-11","15","7","3"
"25,171,171","0","23","-10","-10","-4","-10"
"25,272,166","2","2","-6","-10","7","-10"
"25,372,184","-7","-17","8","-10","7","15"
"25,472,605","-5","11","2","15","7","15"
"25,573,110","14","-15","-14","3","-4","-10"
"25,674,153","-10","15","-12","3","-16","-10"
"25,774,485","-17","-4","9","3","-5","3"
"25,874,802","-7","9","1","-10","-5","-10"
"25,975,194","5","6","-1","-205","-298","3"
"26,074,867","-1","18","6","63","81","15"
"26,175,958","62","-53","32","-927","-1,056","38"
"26,276,564","-194","134","-166","-327","-469","15"
"26,376,885","-38","3","-15","-169","-261","15"
"26,477,467","-6","-5","10","88","129","3"
"26,578,235","150","-132","25","136","166","3"
"26,678,870","-428","258","-1","796","874","-1,085"
"26,779,401","1,235","-498","-45","-95","-652","2,336"
"26,880,288","-549","-300","676","2,274","-1,924","-352"
"26,979,999","-173","825","-15","4,608","-543","-1,830"
"27,080,376","-131","50","-456","1,371","-286","-2,173"
"27,181,453","-242","-3","57","1,944","-421","210"
"27,282,564","480","230","-40","1,774","-91","711"
"27,382,652","-161","109","-69","918","2,500","258"
"27,483,609","-706","405","109","1,396","1,913","1,028"
"27,584,012","-218","114","-91","1,211","-1,801","-1,440"
"27,683,656","576","59","121","1,176","532","-510"
"27,784,242","25","3","-199","2,299","789","1,981"
"27,883,989","-135","65","-460","1,957","1,364","1,028"
"27,984,687","-473","-20","-4","1,419","1,705","173"
"28,085,152","-43","433","-62","2,018","-2,802","51"
"28,185,875","243","643","423","2,971","-6,834","2,727"
"28,285,750","456","-749","-175","-620","-5,576","3,692"
"28,386,191","2,044","-278","-589","-5,911","-3,609","8,676"
"28,486,780","900","-427","-842","-6,729","-201","3,069"
"28,587,161","1,860","-95","-1,057","1,456","-6,798","3,594"
"28,687,527","221","-1,478","250","-6,924","-19,393","8,298"
"28,786,943","2,367","274","-849","3,679","-6,786","-5,141"
"28,887,749","2,219","-775","-3,100","2,274","-6,590","3,631"
"28,988,520","-933","1,259","-2,727","10,900","-971","-4,933"
"29,088,322","-596","-104","3,274","-792","-2,254","2,556"
"29,188,337","221","963","-1,754","2,214","-2,607","-1,781"
"29,288,582","-219","-42","1,237","1,236","-1,727","-1,134"
"29,388,707","1,647","380","-1,399","1,481","3,440","-1,672"
"29,489,015","-116","282","-634","3,582","-2,619","-3,468"
"29,589,249","2,481","72","-4,981","8,749","-13,310","-840"
"29,689,678","436","270","97","3,447","-20,763","1,909"
"29,789,542","666","-128","-3,281","1,651","-16,754","1,554"
"29,889,807","131","-469","-2,423","491","-15,826","1,774"
"29,989,990","330","-59","1,003","-3,235","-1,264","63"
"30,090,357","316","68","795","-4,005","4,601","-82"
"30,190,642","312","-380","-248","-4,543","1,790","931"
"30,290,791","283","-112","-761","-2,160","-1,581","393"
"30,391,028","-246","-36","65","-364","-5,930","564"
"30,491,053","92","-106","-1,096","1,358","3,611","528"
"30,591,350","160","-180","-671","-487","-3,377","-132"
"30,691,530","47","29","167","1,236","-7,983","-560"
"30,791,692","-242","219","-1,360","1,321","-11,623","-59"
"30,892,160","-499","234","-563","1,188","-6,761","113"
"30,992,171","-317","-130","-492","1,053","-4,085","333"
"31,092,303","-231","23","-525","-938","-10,500","675"
"31,192,770","-346","131","-227","-962","-14,384","663"
"31,295,317","-436","-240","-1,681","-620","-13,773","235"
"31,395,500","-483","-63","-1,673","638","-13,871","-1,195"
"31,495,409","-995","212","-386","-2,600","-10,207","-2,221"
"31,596,062","-58","-301","-446","-657","-1,079","-3,308"
"31,696,897","308","270","-243","-938","7,582","-2,355"
"31,797,170","450","162","-486","2,263","-2,790","-2,586"
"31,897,334","-1,651","-249","550","-1,293","-236","3,692"
"31,997,998","-1,343","-320","-416","1,860","-11,147","1,786"
"32,098,405","-1,038","49","-834","150","-17,304","1,713"
"32,199,161","306","-148","44","908","-11,415","1,103"
"32,299,222","-883","110","-236","2,923","-18,635","1,248"
"32,400,207","-1,626","-110","986","2,324","-13,846","2,238"
"32,500,711","-1,435","-79","707","3,216","-11,720","1,445"
"32,601,308","-1,369","-575","-68","2,947","-14,531","1,225"
"32,701,801","-1,062","-59","1,137","2,336","-18,563","1,383"
"32,801,532","-1,271","245","1,925","1,836","-18,208","540"
"32,902,038","-967","-454","2,163","3,901","-19,295","430"
"33,002,766","-1,379","-239","2,139","2,959","-24,512","725"
"33,115,698","-190","6","2,378","2,971","-28,336","626"
"33,202,594","-1,503","310","2,894","5,354","-25,110","1,898"
"33,303,675","645","483","2,270","3,119","-5,929","-1,903"
"33,404,266","441","137","-813","-730","-8,887","-1,475"
"33,504,903","-905","112","-589","1,347","-7,151","-1,756"
"33,605,931","1,085","-10","657","993","-1,312","-766"
"33,706,582","200","-226","958","358","-2,338","-278"
"33,805,990","1,415","581","586","1,689","-16,717","1,152"
"33,906,801","2,201","182","1,686","-1,891","276","1,261"
"34,007,111","905","627","184","1,163","-8,605","2,226"
"34,107,853","286","180","383","247","-8,752","-1,303"
"34,207,707","223","-748","740","-6,117","-10,340","-6,460"
"34,308,671","984","-1,817","-192","-14,352","-5,721","-1,743"
"34,409,124","678","-1,546","419","-2,599","-2,155","-5,434"
"34,509,286","-126","-24","360","3,876","-2,094","-4,284"
"34,609,871","911","112","161","-2,098","-3,730","-1,511"
"34,710,120","376","-466","480","-950","-1,947","2,520"
"34,810,421","-498","484","107","480","1,071","4,902"
"34,911,191","-153","508","595","-632","-1,983","-681"
"35,011,307","381","-340","-152","1,408","-249","-437"
"35,111,821","477","202","-55","993","-517","-840"
"35,212,464","48","-118","-65","736","-2,155","-2,709"
"35,312,787","-108","-102","-216","247","56","-253"
"35,412,993","-108","-48","147","-217","-151","-180"
"35,513,432","191","-160","243","125","-334","406"
"35,613,857","-56","124","-83","430","-334","-535"
"35,714,046","-293","-17","45","-143","-432","-33"
"35,814,990","16","60","-67","-302","-395","-143"
"35,915,285","-36","122","25","-95","-261","-155"
"36,016,044","-7","57","66","15","-236","-107"
"36,116,424","296","97","-58","186","-77","-388"
"36,216,615","-14","67","-73","-144","-4","393"
"36,327,327","59","10","31","-975","-297","2,324"
"36,422,698","302","250","517","-730","-3,145","7,150"
"36,523,983","-552","-127","396","-5,152","-884","7,945"
"36,624,354","-341","523","308","-3,992","582","11,023"
"36,724,772","1,971","-1,270","-655","516","-4,403","8,628"
"36,826,031","274","-888","-52","2,629","-1,385","17,143"
"36,925,544","416","2,109","-268","1,578","-1,715","14,908"
"37,026,835","57","-181","63","846","-1,899","17,229"
"37,127,406","-408","-674","774","4,217","1,046","20,882"
"37,227,113","-340","797","-226","-2,428","-2,375","15,800"
"37,327,252","-354","-349","174","-5,373","-2,925","12,489"
"37,427,875","546","-592","-104","-2,588","521","17,241"
"37,528,558","3,549","56","-98","-1,000","7,826","11,340"
"37,629,014","-1,416","-208","237","870","-3,682","15,043"
"37,729,927","473","796","-1,400","1,090","-1,177","11,914"
"37,829,341","1,068","-231","502","-620","-2,021","19,427"
"37,929,984","-132","-501","312","553","-531","22,373"
"38,030,274","-687","-530","-284","3,546","1,547","15,531"
"38,130,878","-262","-200","188","1,176","117","12,122"
"38,230,821","-958","192","850","320","814","7,260"
"38,331,043","753","-1,360","75","-3,271","1,462","7,235"
"38,431,772","-1,189","1,078","-668","368","-5,112","8,566"
"38,531,406","552","-449","-193","-5,361","-554","12,892"
"38,632,492","-2,589","1,188","1,217","2,056","-1,899","20,222"
"38,733,013","-899","995","-1,613","6,428","-1,202","9,214"
"38,833,197","-1,229","1,149","1,475","5,072","-384","11,511"
"38,933,832","-1,490","992","-385","4,107","1,107","20,063"
"39,034,389","796","1,466","582","3,020","1,070","18,769"
"39,134,850","-834","-337","825","3,119","2,439","21,310"
"39,238,821","339","-637","758","-1,451","2,927","19,245"
"39,335,396","-1,855","488","455","283","5,481","18,096"
"39,434,988","339","-1,293","39","-2,783","6,091","22,593"
"39,535,990","-62","-723","-157","-780","4,063","17,436"
"39,637,020","-855","374","44","-1,280","4,235","14,273"
"39,737,272","-17","318","734","2,934","-2,925","11,389"
"39,838,152","1,103","-886","1,172","-7,609","-8,752","16,435"
"39,938,695","706","-1,688","-436","-3,796","-1,715","22,726"
"40,038,847","-1,975","536","-1,242","-1,525","7,094","19,807"
"40,139,380","2,136","1,207","164","-2,893","6,421","9,398"
"40,253,213","2,400","393","1,106","3,204","1,572","7,321"
"40,339,494","1,462","-1,951","273","-5,617","-10,755","7,528"
"40,439,988","-848","986","-1,799","9,263","5,468","-7,987"
"40,540,571","1,075","-638","1,443","2,056","1,376","5,072"
"40,640,967","-635","730","-2,213","7,052","-1,569","2,018"
"40,741,384","623","20","1,115","3,094","-6,394","-217"
"40,842,203","789","1,666","4","-7,120","6,556","125"
"40,942,678","-919","-425","2,686","13,918","-2,179","-6,790"
"41,042,956","-901","1,479","296","-8,720","-1,372","5,794"
"41,144,077","2,224","-2,072","3,990","10,266","-1,067","4,841"
"41,244,279","-354","1,494","-1,295","19,892","5,383","406"
"41,344,215","764","-776","1,375","4,108","4,198","-1,841"
"41,444,699","1,724","3,088","-3,066","31,316","1,364","-1,928"
"41,546,201","-499","533","-3,022","8,616","-1,299","430"
"41,646,261","-1,173","1,931","1,364","-6,227","-652","3,119"
"41,746,700","-102","676","667","14,700","-2,582","956"
"41,847,085","-293","1,348","-3,200","17,681","-639","3,289"
"41,948,341","-641","729","-1,328","8,860","-1,409","956"
"42,048,399","-278","442","-448","-302","-1,177","-2,953"
"42,148,479","-158","309","1,907","4,731","-3,047","-4,456"
"42,249,515","-1,139","1,275","-1,267","8,763","534","1,005"
"42,349,480","525","-212","-287","4,621","-384","210"
"42,450,504","-236","184","-282","2,361","-1,739","-766"
"42,550,016","436","-553","129","3,216","-1,262","-2,306"
"42,650,976","-202","173","171","8,188","-1,385","-5,592"
"42,751,428","215","-611","-435","12,367","2,035","173"
"42,851,117","66","-797","-2,754","21,603","-872","748"
"42,951,829","-814","-1,234","-2,018","19,953","2,867","1,126"
"43,051,283","-414","-16","-1,447","8,238","2,317","-1,000"
"43,151,566","-69","-337","1,236","1,616","949","3"
"43,251,842","962","-294","-847","12,757","3,710","1,921"
"43,351,867","867","-1,453","-2,567","22,225","5,371","2,886"
"43,452,127","-921","-687","-2,258","16,508","1,499","-2,698"
"43,552,327","-181","-1,054","374","8,078","-872","-767"
"43,652,406","-277","-1,503","-771","18,549","-2,558","-1,048"
"43,752,630","-279","-1,300","-1,655","19,220","1,840","-132"
"43,852,941","1,017","-325","-123","19,660","-1,202","4,939"
"43,953,147","-1,272","-1,832","-456","18,084","1,682","-1,475"
"44,053,391","-671","-1,461","-222","9,947","-921","-375"
"44,153,398","-289","-773","-285","5,060","924","-657"
"44,253,759","122","-537","355","9,716","1,914","-1,023"
"44,353,932","-105","-1,394","437","20,747","227","-1,145"
"44,454,526","605","-843","3,013","25,964","6,703","-290"
"44,554,678","423","85","3,651","25,964","6,458","2,751"
"44,655,340","-492","-1,297","2,741","30,913","2,452","3,791"
"44,756,958","312","360","1,452","21,077","1,754","-2,428"
"44,857,245","-355","1,055","1,208","5,855","-2,057","-3,003"
"44,958,011","908","576","676","8,005","-334","-1,903"
"45,058,504","384","746","869","6,930","6,544","4,487"
"45,158,671","-288","1,371","1,988","18,769","3,025","7,541"
"45,258,988","247","567","335","18,597","-921","4,817"
"45,358,735","-1,509","1,631","831","7,443","2,622","-1,818"
"45,460,275","-8","75","-360","4,426","1,474","-180"
"45,560,533","-178","-693","846","8,053","-249","1,970"
"45,660,421","-889","1,902","1,085","20,394","-4,341","3,729"
"45,761,124","1,153","2,107","-1,044","22,410","4,113","968"
"45,862,135","-243","1,153","2,475","10,754","1,682","296"
"45,962,533","-689","2,164","465","3,387","-3,498","-4,762"
"46,062,453","-1,451","1,141","2,085","10,741","-3,755","-2,331"
"46,162,988","620","-1,210","-747","30,302","-164","7,089"
"46,263,263","-2,212","901","2,834","-21,170","-15,117","21,592"
"46,362,960","-1,801","1,223","-4,610","3,179","-10,120","14,970"
"46,463,416","1,065","-673","-1,165","590","-13,431","20,442"
"46,563,195","9,342","3,666","-5,425","9,020","-29,411","3,778"
"46,664,279","5,503","1,099","-5,712","6,417","-48,261","2,776"
"46,765,251","1,432","263","-2,353","-4,579","-39,087","1,176"
"46,865,574","-417","166","-5,479","-7,743","-39,612","-4,236"
"46,966,762","-2,984","382","-3,031","-8,610","-38,085","-9,404"
"47,066,626","-2,606","926","-1,115","-11,334","-32,526","-12,764"
"47,167,457","-2,131","1,175","-115","-18,102","-36,679","-18,640"
"47,267,800","739","1,289","-954","-25,323","-16,107","-13,582"
"47,367,335","546","647","1,707","-29,575","791","-4,297"
"47,467,590","18","157","-1,126","-39,116","29,281","14,603"
"47,568,447","-3,653","-470","8,665","-28,695","44,723","30,742"
"47,669,103","-3,011","428","326","-30,013","47,545","33,014"
"47,769,702","-823","-1,064","3,460","-22,720","39,457","30,290"
"47,870,049","-4,807","-1,199","634","-18,151","35,230","32,758"
"47,970,823","-6,415","238","-1,415","-12,140","23,636","23,192"
"48,071,187","-3,631","-1,296","58","-13,778","25,187","24,083"
"48,172,194","-1,848","-1,339","1,440","-2,904","12,775","31,401"
"48,272,246","-2,548","-630","-2,216","19,123","-2,227","26,551"
"48,373,026","-1,530","-2,515","3,701","6,698","-3,693","34,675"
"48,475,337","-3,006","-4,344","723","4,414","-16,985","42,604"
"48,574,758","2,605","-2,483","-2,754","2,654","-26,870","41,407"
"48,674,900","2,446","-2,364","-5,171","-1,585","-27,688","41,431"
"48,775,705","-2,735","-3,546","-6,167","-8,525","-45,904","44,412"
"48,876,854","1,067","-4,499","-696","-5,752","-59,868","47,857"
"48,977,270","-8,537","1,522","1,737","1,335","-38,488","21,383"
"49,078,044","-2,592","1,303","1,547","5,684","-48,078","17,779"
"49,178,071","23","-353","2,975","-19,447","-14,641","12,831"
"49,278,772","-3,015","-331","6,677","-27,217","-13,601","8,140"
"49,379,380","445","-544","7,147","-31,138","-19,185","11,879"
"49,480,142","-604","778","-1,115","-41,377","-13,113","16,496"
"49,582,171","-2,951","-207","9,360","-58,640","15,731","26,649"
"49,682,400","-2,874","4,223","-7,515","-34,511","15,401","32,929"
"49,783,228","2,897","3,372","-1,019","-30,773","8,865","34,222"
"49,883,430","4,459","1,205","7,202","-38,664","10,563","44,510"
"49,983,745","2,835","-811","5,092","-38,603","9,892","36,765"
"50,084,239","3,483","-3,542","6,570","-45,261","24,442","41,664"
"50,184,587","2,429","-1,928","7,160","-10,259","21,326","42,677"
"50,285,269","8,889","4,446","-8,372","16,239","-5,820","33,551"
"50,391,729","5,927","6,412","-6,794","17,192","-22,056","27,602"
"50,485,783","8,119","2,857","-6,258","6,820","-26,760","33,270"
"50,585,821","6,061","464","-5,607","3,167","-32,295","47,723"
"50,686,345","4,061","-5,156","-2,953","3,411","-40,810","54,772"
"50,786,725","-5,484","-3,609","-753","2,299","-43,901","41,859"
"50,887,286","-2,641","-1,014","224","1,163","-45,501","39,121"
"50,986,804","-6,368","1,681","-2,342","-1,048","-48,408","31,756"
"51,087,740","-3,043","2,883","247","-4,639","-50,266","21,456"
"51,189,353","1,477","3,308","-2,471","-17,908","-35,739","-2,661"
"51,289,859","46","3,260","-2,885","-30,906","-37,511","-19,959"
"51,389,846","4,507","-2,589","-3,853","-46,251","-7,836","-34,425"
"51,489,930","342","1,866","-9,695","-46,666","3,392","-21,707"
"51,590,208","3,739","3,836","1,685","-27,534","-17,988","-14,438"
"51,691,327","3,894","3,855","-3,873","-28,500","-21,068","2,091"
"51,792,030","-3,560","2,462","-4,722","-29,795","-25,147","17,254"
"51,892,619","-2,020","5,273","1,254","-45,922","-14,824","31,009"
"51,992,996","3,782","6,307","7,550","-41,364","-10,450","28,823"
"52,094,004","2,247","-652","11,415","-53,386","6,739","30,936"
"52,194,082","3,928","-3,769","5,967","-69,721","3,831","25,267"
"52,294,385","5,969","-3,228","3,794","-39,654","-18,710","9,899"
"52,394,743","-1,480","-236","-1,650","-20,399","-28,946","-2,734"
"52,494,953","-818","-865","2,111","-13,889","-14,348","-16,735"
"52,595,931","-1,024","1,418","-2,757","1,358","-18,930","-32,824"
"52,696,269","220","2,311","535","10,986","-11,917","-53,178"
"52,796,652","-568","3,814","999","13,222","-12,148","-53,313"
"52,897,841","-4,071","-2,768","-914","-1,134","-6,296","-74,485"
"52,998,299","-5,446","-557","501","20,735","5,456","-62,854"
"53,098,169","-5,051","-4,137","3,727","32,634","10,758","-46,875"
"53,198,829","-952","-2,367","-6,560","46,574","-225","-39,715"
