"","","","","","",""
"time","ax","ay","az","wx","wy","wz"
"53,298,205","-887","-3,880","-1,143","14,101","14,154","-36,319"
"53,399,186","-779","-3,571","-2,981","14,785","29,987","-30,480"
"53,499,330","1,387","-3,186","-4,569","-8,940","52,407","-31,163"
"53,599,829","6,274","-558","-7,179","-5,031","52,944","-41,792"
"53,700,202","4,701","3,005","2,001","-3,248","44,770","-45,250"
"53,801,273","2,271","3,503","5,704","-4,689","51,832","-39,190"
"53,902,284","-3,022","4,892","1,026","-192","24,613","-21,011"
"54,001,941","-294","162","1,921","5,878","1,925","-40,473"
"54,102,982","500","1,129","2,848","-28,659","20,606","-40,486"
"54,202,938","-4,294","-1,078","4,789","-19,056","30,220","-41,353"
"54,302,852","1,503","426","-4,369","-27,229","8,022","-35,842"
"54,403,326","-2,158","19","2,210","-46,630","10,660","-21,671"
"54,503,945","-2,643","-2,037","-498","-29,111","814","-18,116"
"54,604,408","68","-1,284","-997","-20,999","-5,735","-25,153"
"54,705,103","4,653","-3,601","-472","-2,368","2,060","-32,092"
"54,804,698","3,737","-2,172","2,133","-4,078","5,101","-16,160"
"54,904,802","414","-1,706","-2","-7,414","-9,729","-23,357"
"55,005,080","-598","-343","-464","-7,670","-2,595","-31,225"
"55,106,099","1,963","1,080","-1,583","-2,148","-5,050","-22,392"
"55,206,962","2,107","5,074","-1,765","9,434","-5,173","-30,040"
"55,306,622","1,790","1,627","2,679","-499","-7,164","-13,326"
"55,407,088","-429","2,239","2,229","8,126","-566","-25,898"
"55,506,770","-2,802","1,603","-1,457","3,314","-1,312","-19,361"
"55,607,520","-4,815","624","-2,561","20,002","6,128","-41,561"
"55,707,440","-3,355","1,816","447","15,994","-542","-44,553"
"55,807,473","-4,724","-765","-1,063","25,866","-1,935","-44,468"
"55,908,493","-3,995","-5,705","4,248","30,228","-36,351","-63,869"
"56,008,684","-244","-6,468","461","46,831","-22,131","-43,234"
"56,109,801","1,006","-6,220","7,166","18,462","2,377","-29,575"
"56,210,672","-1,543","-3,415","-2,008","20,955","5,518","-23,295"
"56,310,755","-796","-634","-2,939","19,647","4,906","-26,924"
"56,410,897","7,862","-3,030","1,309","21,700","24,465","-33,106"
"56,511,331","6,105","-2,798","-992","21,273","32,395","-41,999"
"56,611,520","4,195","-2,154","5,657","13,197","25,981","-44,957"
"56,713,402","174","1,986","6,706","4,620","43,939","-37,980"
"56,814,280","593","3,062","-1,921","6,306","27,386","-40,717"
"56,914,169","-595","3,601","2,379","12,880","7,179","-36,514"
"57,014,677","760","2,746","-1,056","8,603","-274","-35,709"
"57,114,489","-583","1,914","-81","10,974","3,880","-50,027"
"57,214,883","-5,804","3,248","-2,802","7,908","8,730","-44,663"
"57,315,061","-3,855","-190","5,710","468","-7,994","-38,188"
"57,415,320","-2,641","-2,693","4,229","-17,285","-18,843","-31,212"
"57,515,679","-1,106","-2,530","4,422","-17,431","-22,594","-15,452"
"57,616,265","4,750","-347","-101","-8,427","-30,059","-12,079"
"57,716,328","2,398","466","-3,828","23,020","-35,080","-12,691"
"57,816,446","135","2,588","-2,270","26,562","-19,430","-18,444"
"57,916,801","-4,182","1,586","-1,127","31,706","-15,642","-21,890"
"58,017,144","-992","2,021","-4,326","25,732","606","-19,764"
"58,117,290","-563","874","-4,411","12,392","33,520","-6,765"
"58,217,528","-4,033","839","-2,270","12,427","50,208","8,738"
"58,318,029","-6,569","-622","6,601","-31,578","76,878","3,143"
"58,419,102","-9,259","-2,016","1,552","-16,991","53,972","-3,736"
"58,519,330","-1,961","-4,241","-4,059","-25,018","11,870","-4,810"
"58,619,664","-4,613","-1,686","-5,260","-23,821","-28,226","-2,061"
"58,719,894","-2,433","314","9,674","-20,790","-22,459","-10,051"
"58,821,040","-5,688","2,708","1,070","-19,019","-9,142","9,631"
"58,921,205","632","-1,213","-1,070","-12,042","13,325","15,458"
"59,021,465","-1,519","-675","-3,265","-10,601","16,782","10,363"
"59,121,742","-907","-187","-1,147","-6,179","-3,523","2,764"
"59,222,630","-640","617","1,852","-1,939","-1,152","2,508"
"59,322,858","386","225","1,010","-1,414","-5,037","-3,539"
"59,423,585","-1,153","105","-13","4","3,282","-4,027"
"59,532,777","-147","1,498","-301","-974","-1,225","-1,169"
"59,624,388","604","-489","-62","-82","-675","-1,646"
"59,724,648","1,036","194","-49","77","118","-93"
"59,825,263","-35","86","-14","-8","8","4"
"59,925,777","-2","8","-1","-33","-16","-21"
"60,026,320","2","-7","-1","-8","-4","-8"
"60,126,810","-12","12","2","15","8","-8"
"60,227,133","7","14","-12","-8","-4","-8"
"60,327,693","-5","-3","3","16","8","4"
"60,428,435","-12","11","2","-21","-4","-8"
"60,528,716","-5","-2","-5","-8","-4","-21"
"60,629,259","4","-9","-5","4","-4","4"
"60,730,227","12","5","14","-21","-4","-8"
"60,835,206","-6","-15","-3","4","-4","4"
"60,931,741","17","-12","-3","-8","-4","-21"
"61,032,029","16","-18","-9","4","8","4"
"61,131,858","4","-14","-5","4","-4","-8"
"61,233,054","5","-13","-7","4","-4","-21"
"61,333,243","-7","0","-8","-8","8","-8"
"61,433,658","3","-4","9","-8","-4","4"
"61,534,381","4","-13","-6","4","-4","4"
"61,634,168","12","-24","12","4","21","4"
"61,734,414","5","15","-19","-21","8","4"
"61,834,711","-11","-3","5","-8","-4","-8"
"61,935,465","6","3","7","4","-4","4"
"62,035,276","2","8","14","4","-4","4"
"62,136,073","-7","-12","-9","4","-15","4"
"62,237,330","-4","-11","11","4","-15","4"
"62,338,006","1","-8","-7","-21","8","-8"
"62,438,307","14","1","9","4","8","4"
"62,538,671","15","9","-6","4","8","4"
"62,640,214","16","5","-3","-8","8","-8"
"62,740,103","3","-2","2","4","8","4"
"62,840,684","17","10","-12","-8","-4","-8"
"62,940,941","8","-3","-7","-8","-4","4"
"63,041,106","-11","-2","3","-8","-4","4"
"63,141,515","9","-13","8","-8","-16","-21"
"63,241,503","5","-5","0","-8","8","4"
"63,341,883","2","-6","-2","-8","-4","-21"
"63,442,607","-9","1","-2","-21","-4","-8"
"63,543,375","11","-1","7","15","-4","4"
"63,643,312","-13","3","2","15","-4","4"
"63,743,405","9","-2","3","-8","-4","-8"
"63,844,185","-19","8","8","-8","8","-8"
"63,945,034","4","-19","6","15","-4","-8"
"64,045,012","-6","-5","-3","-8","-4","16"
"64,145,377","-12","18","-18","-8","8","4"
"64,246,594","12","-6","3","15","8","16"
"64,346,660","4","1","-10","-8","8","4"
"64,447,137","-10","14","-1","4","-16","4"
"64,547,621","7","21","11","15","-4","-8"
"64,647,659","2","-12","8","4","-4","-8"
"64,748,175","5","0","-4","-8","-4","4"
"64,848,373","-17","20","-1","-8","-16","-8"
"64,949,517","3","-5","1","4","-4","-8"
"65,049,239","-2","-3","4","4","8","4"
"65,150,231","9","11","-9","-8","8","-8"
"65,250,641","-4","4","-4","3","-16","-8"
"65,351,297","-5","14","-5","3","8","4"
"65,452,060","13","-5","-5","3","8","15"
"65,551,618","6","7","7","3","-4","-8"
"65,653,011","11","4","3","-8","-4","-8"
"65,753,158","8","3","-13","-10","-4","3"
"65,855,243","1","1","0","3","8","3"
"65,955,606","3","-10","-5","-10","-16","3"
"66,056,971","-21","4","8","-21","-16","-8"
"66,156,248","2","-12","-2","3","8","15"
"66,256,505","-19","5","0","3","8","3"
"66,357,908","1","4","-4","15","21","3"
"66,458,091","-13","-27","-1","3","-4","-10"
"66,558,909","-5","-10","7","27","-4","3"
"66,668,348","6","-3","1","3","-4","3"
"66,759,522","0","5","2","-10","-4","3"
"66,858,718","-339","195","-325","-363","-627","15"
